C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
mAmp-hr,Watt-hr,mAmps,Volts,State,ES
0.3958078736,0.00,0.30,0.98,C,5
0.3971068729,0.00,0.30,0.99,C,5
0.3983683842,0.00,0.30,1.00,C,5
0.3996098926,0.00,0.30,1.01,C,5
0.4008130761,0.00,0.30,1.02,C,5
0.4019537629,0.00,0.30,1.03,C,5
0.4030927837,0.00,0.30,1.04,C,5
0.4042284709,0.00,0.30,1.05,C,5
0.4052941684,0.00,0.30,1.06,C,5
0.4064031946,0.00,0.30,1.07,C,5
0.4074605646,0.00,0.30,1.08,C,5
0.4085170980,0.00,0.30,1.09,C,5
0.4095536340,0.00,0.30,1.10,C,5
0.4105410052,0.00,0.30,1.11,C,5
0.4115433804,0.00,0.30,1.12,C,5
0.4125282560,0.00,0.30,1.14,C,5
0.4134831333,0.00,0.30,1.15,C,5
0.4144380130,0.00,0.30,1.16,C,5
0.4153179027,0.00,0.30,1.17,C,5
0.4162052909,0.00,0.30,1.18,C,5
0.4170901798,0.00,0.30,1.19,C,5
0.4179625678,0.00,0.30,1.20,C,5
0.4182833611,0.00,0.30,1.20,C,133
0.0000000000,0.00,0.00,1.17,R,0
0.0000000000,0.00,0.00,1.09,R,1
0.0000000000,0.00,0.00,1.06,R,1
